Source,Month of Year,Device Category,Ad Content,Sessions,Users,New Users,Pageviews,Session Duration,Calculated AToS
GoodRx,202105,desktop,BSDermicoolQuetiapine.NU1559Branded.300,2,1,1,3,4,4.62963E-05
GoodRx,202105,desktop,BSDermicoolQuetiapine.NU1559Branded.728,5,5,5,5,0,0
HealthUnion,202105,desktop,ConditionCenter.NU1559Branded.160,6,6,6,6,90,0.001041667
HealthUnion,202105,desktop,ConditionCenter.NU1559Branded.300,7,7,6,9,631,0.007303241
HealthUnion,202105,desktop,ConditionCenter.NU1559Branded.728,5,5,5,6,16,0.000185185
HealthUnion,202105,desktop,ConditionCenter.NU1623Unbranded50.160,1,1,1,1,0,0
HealthUnion,202105,desktop,ConditionCenter.NU1623Unbranded50.300,4,3,3,6,1466,0.016967593
HealthUnion,202105,desktop,ConditionCenter.NU1623Unbranded50.728,3,3,3,3,0,0
HealthUnion,202105,desktop,ConditionCenter.NU1624UnbrandedSymp.160,1,1,1,1,0,0
HealthUnion,202105,desktop,ConditionCenter.NU1624UnbrandedSymp.300,3,3,2,3,728,0.008425926
HealthUnion,202105,desktop,HealthUnionSDDisplay.NU1624UnbrandedSymp.160,1,1,0,1,0,0
HealthUnion,202105,desktop,SDDisplay.NU1623Unbranded50.300,2,2,2,2,0,0
HealthUnion,202105,desktop,SDDisplay.NU1624UnbrandedSymp.300,2,2,2,2,68,0.000787037
HealthUnion,202105,desktop,SDDisplayAV.NU1559Branded.300,1,1,1,1,0,0
HealthUnion,202105,desktop,SDDisplayAV.NU1559Branded.728,1,1,0,1,0,0
HealthUnion,202105,desktop,SDDisplayAV.NU1624UnbrandedSymp.300,1,1,0,1,0,0
MediaIQ,202105,desktop,SDPCrossixSegment.NU1559Branded.160,5,5,4,49,434,0.005023148
MediaIQ,202105,desktop,SDPCrossixSegment.NU1559Branded.300,9,9,9,79,695,0.008043981
MediaIQ,202105,desktop,SDPCrossixSegment.NU1559Branded.728,5,5,5,33,197,0.002280093
